127.0.0.1 - - [29/Aug/2023:16:53:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:54:00 +0900] "GET /Test/NewFile.html HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:54:30 +0900] "GET /Test/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:54:46 +0900] "GET /Test/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:54:59 +0900] "GET /Test/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:17:19:05 +0900] "GET /Test/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:17:20:58 +0900] "GET /Test/index.html HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [29/Aug/2023:17:22:10 +0900] "GET /Test/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:17:22:22 +0900] "GET /Test/ HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [29/Aug/2023:17:22:28 +0900] "GET /Test/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:17:23:59 +0900] "GET /manager/status HTTP/1.1" 404 825
